time,ax,ay,az,gx,gy,gz
1786181347.929822683,-0.02468144,0.003560048,0.999499798,0.000836292,0.001347305,0.023059119
1786181347.935682297,-0.03176152,0.00844286,0.993884563,0.00509735,0.000282042,0.026254911
1786181347.940043211,-0.027122846,0.013813954,1.006091595,-0.005555294,0.005608363,0.028385442
1786181347.945685863,-0.023216596,0.000142079,0.993396282,-0.005555294,0.005608363,0.029450703
1786181347.950047255,-0.017357221,-0.003031749,0.995593548,-0.009816352,0.007738894,0.030515969
1786181347.955554962,-0.003197065,-0.02280714,0.991443157,-0.019403733,0.006673628,0.024124384
1786181347.959789991,-0.00515019,-0.016703624,0.98851347,-0.011946881,0.003477834,0.027320176
1786181347.965703964,-0.034202926,-0.023295421,0.979724407,-0.009816352,-0.003979016,0.019863326
1786181347.970391750,-0.053978316,-0.031352062,0.986316204,-0.002359501,-0.003979016,0.024124384
1786181347.975870609,-0.050560348,-0.024760265,1.01219511,0.000836292,-0.000783224,0.020928588
1786181347.979859591,-0.036644332,-0.032084484,0.99632597,-0.007685823,0.002412571,0.020928588
1786181347.985690355,0.007300982,-0.02671339,1.013659954,-0.000228972,0.001347305,0.023059119
1786181347.990043163,0.045875199,-0.041850109,0.999255657,0.001901557,-0.000783224,0.01666753
1786181347.995447397,0.05808223,-0.020365734,0.978503704,0.00509735,-0.000783224,0.01666753
1786181347.999900818,0.035133012,-0.037699718,0.978747845,0.010423672,-0.002913753,0.01666753
1786181348.005683661,0.008277545,-0.022562999,0.980212688,-0.003424766,0.000282042,0.019863326
1786181348.010111570,-0.019066205,-0.021342296,1.00413847,0.002966821,0.0045431,0.021993853
1786181348.015559673,-0.020042768,-0.032084484,0.992175579,-0.008751089,0.009869421,0.020928588
1786181348.019885540,-0.006370893,-0.035502452,1.01610136,0.004032086,0.0045431,0.029450703
1786181348.025678873,0.002906451,-0.032572765,0.991687298,-0.00662056,0.005608363,0.025189646
1786181348.029922962,-0.00124394,-0.028422374,0.994861126,0.01468473,0.002412571,0.027320176
1786181348.035700560,-0.01711308,-0.024760265,0.983630657,0.00509735,-0.000783224,0.024124384
1786181348.040221214,-0.03566777,-0.004496593,0.97288847,0.009358408,0.001347305,0.023059119
1786181348.045702934,-0.048118941,-0.016703624,1.00023222,0.009358408,0.0045431,0.020928588
1786181348.049970388,-0.032982223,0.004048329,1.00804472,0.002966821,0.010934686,0.019863326
1786181348.055687666,-0.019554486,-0.009379406,1.005115032,0.011488937,0.006673628,0.024124384
1786181348.059935331,-0.007347456,0.002095204,1.012683392,-0.005555294,0.005608363,0.018798061
1786181348.065717936,-0.00124394,-0.021586437,0.98851347,-0.001294237,0.001347305,0.01666753
1786181348.069982529,-0.012230268,-0.016703624,0.970447063,-0.010881618,-0.001848487,0.013471738
1786181348.075693369,-0.029808393,-0.02671339,0.984363079,-0.017273204,-0.002913753,0.01134121
1786181348.080178022,-0.026146283,-0.009135265,0.99632597,-0.009816352,0.000282042,0.015602268
1786181348.085553646,-0.023460736,-0.015482921,0.993640423,-0.008751089,0.0045431,0.017732795
1786181348.089879274,-0.005882612,-0.006693858,1.006091595,0.002966821,0.001347305,0.021993853
1786181348.095691204,0.014625201,-0.009623546,1.007068157,-0.000228972,0.005608363,0.023059119
1786181348.099963427,0.030738482,-0.005961436,1.000720501,0.009358408,0.005608363,0.020928588
1786181348.105679750,0.030982623,-0.019877452,0.983142376,0.006162615,0.002412571,0.029450703
1786181348.109959602,0.018775592,-0.021098156,0.983874798,0.004032086,0.002412571,0.024124384
1786181348.115819693,0.00266231,-0.019389171,0.98485136,0.004032086,0.0045431,0.026254911
1786181348.119886875,-0.022484174,-0.020854015,0.992175579,0.00509735,0.006673628,0.020928588
1786181348.125804186,-0.040062301,-0.005717296,0.99657011,0.002966821,0.0045431,0.024124384
